Num,File,Subset,Fruit,Color,Count,DateTime,GPSAltitude,GPSLatitude,GPSLongitude>,GPSImgDirection,GPSDestBearing,ShutterSpeedValue,SubsecTimeDigitized,ExposureTime,BrightnessValue
1,IMG_3521.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:39:45,334,37;53.7857N,122;15.5356W,356238/1463,356238/1463,84572/17235,944,1/30,5396/1247
2,IMG_2818.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 08:48:17,327,37;53.7943N,122;15.5461W,2224375/16003,2277333/16384,84572/17235,510,1/30,19223/5070
3,IMG_4313.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:05,313,37;53.7997N,122;15.5736W,352652/1409,352652/1409,49625/8401,213,1/60,59991/11077
4,IMG_2819.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 08:48:20,327,37;53.7943N,122;15.5461W,49647/394,49647/394,84572/17235,072,1/30,159250/38599
5,IMG_2953.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:03:13,330,37;53.796N,122;15.5511W,389855/1317,389855/1317,84572/17235,935,1/30,26857/12851
6,IMG_2946.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:02:10,330,37;53.7962N,122;15.5493W,556401/2003,745294/2683,84572/17235,569,1/30,52865/20884
7,IMG_2826.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 08:48:48,325,37;53.7942N,122;15.5461W,416243/1507,416243/1507,84572/17235,757,1/30,131783/38187
8,IMG_4314.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:13,330,37;53.7988N,122;15.5525W,85066/331,85066/331,260036/48857,054,1/40,45653/9412
9,IMG_3485.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:26:56,332,37;53.7932N,122;15.5516W,1701032/6199,1688135/6152,84572/17235,922,1/30,68868/15259
10,IMG_4315.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:19,330,37;53.798N,122;15.5562W,333077/1415,333077/1415,49625/8401,692,1/60,74053/13662
11,IMG_4317.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:25,331,37;53.798N,122;15.5557W,391972/1649,391972/1649,194444/28147,108,1/120,39715/6941
12,IMG_4316.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:22,330,37;53.798N,122;15.5557W,315410/1411,315410/1411,194444/28147,062,1/120,111901/19278
13,IMG_3041.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:18:34,334,37;53.7988N,122;15.5594W,361297/3277,361297/3277,49625/8401,728,1/60,134952/26431
14,IMG_3634.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 23:02:39,321,37;53.8055N,122;15.5804W,558781/2048,558781/2048,41876/9689,381,1/20,45228/29591
15,IMG_3635.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 23:03:40,321,37;53.806N,122;15.5804W,347233/1557,347233/1557,53079/11576,339,1/24,28999/16171
16,IMG_3409.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:17:29,331,37;53.796N,122;15.558W,250853/916,250853/916,65293/6024,612,1/1832,62275/6072
17,IMG_2930.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 08:59:52,329,37;53.7968N,122;15.5479W,583257/3791,480637/3124,84572/17235,346,1/30,49429/21025
18,IMG_3637.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 23:05:34,323,37;53.8037N,122;15.5731W,433011/1640,433011/1640,84572/17235,956,1/30,89605/45022
19,IMG_3636.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 23:03:47,321,37;53.806N,122;15.5804W,359495/1712,359495/1712,84572/17235,402,1/30,28230/14311
20,IMG_3352.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:07:56,330,37;53.7967N,122;15.5562W,293786/3259,293786/3259,49625/8401,618,1/60,74453/13986
21,IMG_3408.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:17:03,332,37;53.7968N,122;15.5576W,235992/4589,235992/4589,66218/7485,888,1/460,27920/3387
22,IMG_3034.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:17:36,334,37;53.8N,122;15.5598W,300101/2843,432365/4096,260036/48857,889,1/40,53471/12231
23,IMG_4217.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:14:47,333,37;53.8195N,122;15.4916W,26137/512,26137/512,110072/12215,865,1/516,61284/6919
24,IMG_3197.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-18 13:36:23,229,37;53.8022N,122;15.5608W,198263/656,198263/656,21868/1977,362,1/2137,96642/8651
25,IMG_3196.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-18 13:35:59,244,37;53.804N,122;15.5576W,77079/8192,77079/8192,57404/5793,865,1/962,140931/14131
26,IMG_3946.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 08:49:20,328,37;53.801N,122;15.5562W,220011/4096,220011/4096,194444/28147,609,1/120,81365/13426
27,IMG_4224.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:18:20,336,37;53.7915N,122;15.5585W,165533/588,165533/588,84572/17235,613,1/30,63637/15362
28,IMG_3005.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:11:41,331,37;53.7975N,122;15.5534W,479549/2875,383806/2301,84572/17235,300,1/30,52053/14840
29,IMG_3405.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:15:54,335,37;53.7978N,122;15.5548W,270804/3617,346123/4623,49625/8401,562,1/60,137294/27177
30,IMG_4223.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:18:18,335,37;53.7918N,122;15.5589W,155525/538,155525/538,84572/17235,577,1/30,58172/12787
31,IMG_3406.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:16:07,334,37;53.7963N,122;15.5521W,782736/2747,551363/1935,98497/8770,938,1/2404,76927/7239
32,IMG_3407.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:16:47,332,37;53.7963N,122;15.5562W,48305/839,48305/839,523733/48768,059,1/1709,87258/8573
33,IMG_3272.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-18 14:18:37,327,37;53.7993N,122;15.5612W,271417/2096,271417/2096,54359/6331,941,1/384,64439/7860
34,IMG_3299.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-18 14:26:48,329,37;53.7895N,122;15.553W,776020/3111,776020/3111,98771/12066,966,1/291,88617/11729
35,IMG_3449.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:21:24,336,37;53.7933N,122;15.558W,105614/2303,105614/2303,63901/6906,468,1/610,76937/9049
36,IMG_3715.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 08:25:12,330,37;53.7998N,122;15.5544W,931649/3356,1106819/3987,194444/28147,468,1/120,106472/16791
37,IMG_4318.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-21 09:36:31,332,37;53.798N,122;15.5557W,75808/301,75808/301,194444/28147,451,1/120,30637/5294
38,IMG_3506.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:31:05,333,37;53.7897N,122;15.5498W,375922/5563,375922/5563,63389/6487,466,1/874,44335/4792
39,IMG_3049.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-17 09:20:40,330,37;53.798N,122;15.5548W,824181/6226,860320/6499,260036/48857,996,1/40,68085/13891
40,IMG_3458.png,MISC,FRUIT-NA,COLOR-NA,NUM-NA,2019-07-19 17:23:21,335,37;53.7957N,122;15.5598W,999627/3104,999627/3104,84967/9194,485,1/605,308563/35481
41,IMG_4064.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:58:44,330,37;53.798N,122;15.5521W,557755/1697,557755/1697,84572/17235,810,1/30,56998/13049
42,IMG_4070.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:59:12,330,37;53.7985N,122;15.5493W,573793/1850,573793/1850,84572/17235,309,1/30,62633/19632
43,IMG_4058.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:58:20,331,37;53.798N,122;15.5493W,408540/1337,408540/1337,84572/17235,330,1/30,78572/25875
